Ensemle_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000105996	72.7183556	7.221136751	2.354133087	3.067429277	0.002159085	0.017425089648925
ENSG00000105997	352.9156309	7.595896091	2.496199047	3.042984934	0.002342441	0.018685049493750
ENSG00000067842	15.61285919	5.377082995	1.799293815	2.988440771	0.002804048	0.021858832113863
ENSG00000259144	9.257563947	6.709073231	2.248441015	2.983877801	0.002846204	0.021938157985899
ENSG00000151789	47.9577265	5.616810419	1.906933744	2.945467002	0.003224675	0.024329689974646
ENSG00000236081	1824.332687	5.689917005	1.931925646	2.945204965	0.003227408	0.024329689974646
ENSG00000130988	185.9600422	4.451495153	1.520303413	2.928030757	0.003411163	0.025435410981869
ENSG00000253187	331.3420647	7.161364068	2.494255186	2.871143301	0.004089901	0.030168515045343
ENSG00000203512	22.37886286	7.982683333	2.789490608	2.861699305	0.004213765	0.030751517251190
ENSG00000251320	78.44711038	5.995968996	2.106745617	2.846081154	0.004426091	0.031961038424528
ENSG00000198250	12.1676194	7.103728855	2.513682863	2.826024301	0.004712969	0.033678089898446
ENSG00000123700	8.964253951	6.662408769	2.362237273	2.82038085	0.004796668	0.033922829402768
ENSG00000236548	6.06358555	6.099206517	2.177003916	2.801651605	0.005084175	0.035229735341805
ENSG00000254620	11.01177672	6.958934202	2.483528149	2.802035566	0.005078127	0.035229735341805
ENSG00000016082	19.82665753	7.808873456	2.792423799	2.796449973	0.005166741	0.035443842720111
ENSG00000189316	63.72385749	5.845456836	2.109535136	2.770969175	0.005588972	0.037960738778461
ENSG00000226974	9.59784829	6.761121857	2.451804506	2.757610503	0.005822553	0.039159522932483
ENSG00000105889	191.5689597	5.055844895	1.836243607	2.753362831	0.005898648	0.039286142993940
ENSG00000078399	424.4812959	6.438476357	2.344083653	2.746692231	0.00601996	0.039708579781701
ENSG00000183571	52.23998865	5.397974125	1.988822595	2.714155671	0.006644493	0.043410690582289
ENSG00000248458	5.077551272	5.842943155	2.190478697	2.667427519	0.007643437	0.049003720135964
ENSG00000167580	8.097468173	6.515568817	2.445671442	2.664122705	0.00771894	0.049029563857676
