ID	Ebs_control12	Ebs_control11	Ebs_control10	Ebs_control9	Ebs_control8	Ebs_control7	Ebs_control6	Ebs_control5	Ebs_control4	Ebs_control3	Ebs_control2	Ebs_control1	Ebs_RA_4D12	Ebs_RA_4D11	Ebs_RA_4D10	Ebs_RA_4D9	Ebs_RA_4D8	Ebs_RA_4D7	Ebs_RA_4D6	Ebs_RA_4D5	Ebs_RA_4D4	Ebs_RA_4D3	Ebs_RA_4D2	Ebs_RA_4D1	Ebs_RA_2D12	Ebs_RA_2D11	Ebs_RA_2D10	Ebs_RA_2D9	Ebs_RA_2D8	Ebs_RA_2D7	Ebs_RA_2D6	Ebs_RA_2D5	Ebs_RA_2D4	Ebs_RA_2D3	Ebs_RA_2D2	Ebs_RA_2D1	encapsulated_control10	encapsulated_control9	encapsulated_control8	encapsulated_control7	encapsulated_control6	encapsulated_control5	encapsulated_control4	encapsulated_control3	encapsulated_control2	encapsulated_control1	encapsulated_RA_4D11	encapsulated_RA_4D10	encapsulated_RA_4D9	encapsulated_RA_4D8	encapsulated_RA_4D7	encapsulated_RA_4D6	encapsulated_RA_4D5	encapsulated_RA_4D4	encapsulated_RA_4D3	encapsulated_RA_4D2	encapsulated_RA_4D1	encapsulated_RA_2D12	encapsulated_RA_2D11	encapsulated_RA_2D10	encapsulated_RA_2D9	encapsulated_RA_2D8	encapsulated_RA_2D7	encapsulated_RA_2D6	encapsulated_RA_2D5	encapsulated_RA_2D4	encapsulated_RA_2D3	encapsulated_RA_2D2	encapsulated_RA_2D1
ENSMUSG00000061728	0.683388	0.512427	0.989098	0.791944	1.3469	0.950854	0.478708	0.728102	1.1568	0.836767	0.871265	0.496466	0.42946	0	0.263964	0.411735	0.0915355	0.145027	0	0.263964	0.149355	0.27162	0	0.18131	1.05875	0.750412	0.859124	1.19309	0.477541	0.526936	0.418012	0.608849	0.443948	0.733692	0.528348	0.799482	0.236747	0.133399	0.16145	0.358735	0.667042	0.249314	0	0	0	0.244963	0.019634	0.0304371	0.0355888	0.03949	0.132211	0	0.440508	0.0143351	0.0183307	0.219324	0.0411793	0	0	0.27694	0.0411793	0.28107	0.0479817	0	0.506762	0.141638	0.130687	0.232429	0.32244
ENSMUSG00000033255	0.263964	0.733007	0	1.01239	1.0265	0.792506	1.19777	0.525699	0.516109	0.927676	0.411735	1.19309	0.51135	0.496466	0.369788	0.545924	0.406227	0.418012	0.556667	0.171855	0.232429	0.374008	0.585938	0.330425	0.469695	0.544853	0.469695	0.203543	0.464539	0.591666	0.03949	0.362058	0.250426	0.608849	0.160418	0	0.355069	0.42946	0.234841	0.263964	0	0.182843	0.263964	0	0	0.265334	0.15259	0.0230654	0	0	0.0291362	0.0355888	0	0	0.141638	0.0143351	0.0143351	0.141638	0.141638	0.143326	0.133399	0.158278	0.18131	0.194524	0	0	0.182843	0.00890881	0.28486
ENSMUSG00000097435	0	0.123851	0.133399	0.310932	0.658587	0.198394	0.0915355	0	0.45491	0.182843	0.130687	0.232429	0	0	0.184393	0	0.141638	0	0.219324	0	0.154111	0	0.130687	0	0	0.250426	0	0	0.03949	0.0462914	0.165128	0.464539	0.112587	0	0.0462914	0.0897422	1.01303	0.954406	0.670421	0.783457	1.35705	1.63373	1.23611	0	0	1.00774	0.374008	0.811207	0.653015	0.374008	0.36461	0.27162	0.451028	0.502296	0.469695	0.72153	0.406227	0.637739	0.961436	0.674112	0.929831	0.45491	0.263964	0.385889	0.443187	0.581897	0.616798	0.835698	0.745013
ENSMUSG00000051176	2.07898	1.89394	1.67137	1.78023	1.45687	1.39636	1.44228	1.46631	1.83714	1.75636	1.66895	1.60384	0.309526	0.517501	1.05097	0.468543	0.661894	0.905007	1.25879	1.11437	0.973993	1.16664	1.24368	1.46128	1.10581	1.42094	1.46365	0.905007	0.464539	0.961436	0.948174	0.914994	1.49342	1.09894	0.960119	1.2496	1.63841	1.86021	1.82507	1.46631	1.06074	1.39023	1.12303	0	0	1.89038	0.376382	0.501287	0.263964	0.469695	0.305795	0.263964	0.404412	1.03586	0.418012	0.464539	0.28486	0.589775	0.621658	0.471802	0.376382	0.901336	0.406227	0.517501	0.695498	1.00986	0.469695	1.12743	0.625199
ENSMUSG00000074228	0.719264	0.228653	0.27073	0.132211	0.45491	0.51135	0.477541	0.656504	0.506762	0.219324	0.232429	0.635498	0.251938	0.353813	0	0.374008	0.616112	0.509213	0	0.24601	0	0.557611	0.263964	0.140089	0.345965	0.130687	0.157164	0.549254	0.332695	0.132211	0.310932	0.27073	0.441403	0.205206	0.130687	0.130687	1.72642	0.897597	1.73509	1.2906	1.43546	1.41718	0.922384	0.28486	0.28486	1.5134	0.77821	0.869878	0.443948	0.825224	1.09613	0.905825	0.712118	0.773966	0.992061	1.11734	0.918975	0.797121	0.330425	0.502296	0.450217	0.467248	0.468543	0.786435	0.82585	0.786435	0.853187	0.667042	0.650576
ENSMUSG00000028104	1.05746	0.92935	0.807553	1.12025	0.95617	0.813778	0.280166	0.750412	0.941666	0.647638	1.07327	1.25261	0.840969	0.366943	0.330425	0.599601	0.28486	0.276039	0.27162	0.792506	0.389849	0	0.443948	0.28107	0.802123	0.263964	0.800404	0.276039	0.676805	0.514509	0.877359	0.668733	0.0462914	0.891334	0.435397	0.590914	0.440508	0.434553	0.514509	0.251938	0.616798	0.630821	0.509213	0	0	0.773966	0.206874	0	0.250426	0.141638	0	0.0462914	0.0462914	0.0114996	0.120108	0.263964	0.186185	0.162476	0	0.0666575	0	0.335299	0.248212	0.143326	0.257544	0.0826071	0.450217	0.258636	0.600743
ENSMUSG00000032773	0.508142	0.406227	0.451028	0.157164	0.418012	0.506762	0.351305	0.454015	0.696125	0.337637	0.358735	0.669363	0	0	0.159291	0	0.157164	0	0.362058	0.154111	0.192928	0	0.294851	0.345965	0.32244	0.154111	0.199563	0.232429	0.394626	0	0.0355888	0.18131	0.251938	0	0.149355	0.381749	1.9207	1.93349	2.06307	1.42094	1.78863	2.04289	1.45524	0	0	1.58251	0.580551	0.381749	0.606241	0.381749	0.263964	0.558677	0.469695	0.506762	0.635498	0.51135	0.724835	0.447905	0.716998	0.263964	0.471802	0.263964	0.182843	0.263964	0.171855	0.406227	0.625199	0.201935	0.528348
ENSMUSG00000012396	0.530922	0.961436	0.252949	0.960119	0.55975	0.228653	0.443948	0.589775	0.171855	0.197307	0.471802	0.249314	0	0.434553	0.621658	0	0.496466	0.411735	0.235788	0.394626	0.544058	0	0.664063	0.263964	0.575631	0.235788	0.486905	0.692466	0.779196	0.588778	0.719264	0.28107	0.406227	0.379543	0.664063	0.656504	0.155644	0.130687	0.143326	0.206874	0.254471	0	0	0	0	0	0	0	0.143326	0	0	0	0	0.03949	0.340046	0.155644	0.157164	0	0	0	0	0	0.0355888	0.10045	0	0.374008	0	0	0.0213364
ENSMUSG00000029919	0.807553	0.792506	1.00585	0.75668	1.4001	1.41491	1.26925	1.01303	0.966172	1.16422	1.10045	1.34418	0.36461	0.61978	0.616112	0.330425	0.283282	0.27073	0.263964	0.263964	0.203543	0.613857	0.475221	0.503303	0.740066	0.471802	0.32244	0.130687	0.772546	0.992061	0.782896	0.769624	0.680077	0.82585	0.572037	0.890589	2.78356	2.24706	2.64589	2.66764	2.55273	2.46	2.52794	0	0	1.64747	1.22906	1.33421	1.24692	0.75668	0.962416	1.18362	0.580551	0.634495	0.804056	0.550199	0.883558	1.64996	1.72118	1.73256	1.95102	2.01849	1.4963	1.86151	1.80503	1.65428	1.66387	1.49342	1.82341
ENSMUSG00000054957	0.65919	0.506762	0.879595	0.517501	0.665531	0.27162	0.244963	0.72745	0.864252	0.757554	0.263964	0.856131	0.263964	0.40196	0.182843	0.141638	0.145027	0.658587	0.162476	0.244963	0.363723	0.236747	0.143326	0.614998	0.250426	0.358735	0.37496	0.244963	0.440508	0.263964	0.130687	0.263964	0.276039	0.130687	0.263964	0	0.358735	0.149355	0.24601	0	0.24601	0	0.15259	0	0	0	0	0.123851	0.130687	0.03949	0.133399	0.250426	0.141638	0	0.381749	0.0355888	0.145027	0	0	0.143326	0.0479817	0.130687	0.143326	0.24601	0.14764	0.294851	0	0	0.019634
ENSMUSG00000085267	0.842791	0.661894	1.47496	1.15997	0.499355	1.04919	0.57096	0.886727	0.72153	0.27162	0.460157	0.387147	0.157164	0	0	0	0	0.283282	0.330425	0	0.27073	0.162476	0.120108	0	0.715327	0.498634	0.580551	0.509213	0.839266	0.263964	0.635498	0.130687	0.233807	0.722181	0.309526	0.379543	0.358735	0.263964	0.154111	0	0.157164	0.670421	0	0.355069	0.355069	0.265334	0	0	0	0	0	0	0	0.0143351	0	0	0	0	0	0	0	0	0	0	0.129401	0	0	0	0.0114996
ENSMUSG00000097622	0.902847	1.46027	2.00154	1.46128	0.912845	1.24726	1.66363	1.23949	1.36026	1.16889	1.08675	1.33015	0.804056	0.616112	0.569606	0.72153	0.814489	0.792506	1.04919	0.40196	0.834865	0.477541	0.783457	0.72153	0.747801	0.501287	0.748332	1.1157	0.300244	0.664063	0.740066	0.616798	0.129401	0.74307	0.273484	0.695498	1.2853	1.24925	1.28121	1.04309	0.890589	1.31252	0.956914	0	0	0	0.422452	0.483025	0.250426	0.736375	0.593419	0.657986	0.593419	0.61978	0.523609	0.468543	0.330425	0.157164	0.440508	0.419368	0.440508	0.10045	0.27073	0.219324	0.0355888	0.366943	0.406227	0.133399	0.424602
ENSMUSG00000014245	1.21068	0.77821	1.39636	0.944994	1.41042	1.12476	1.13468	1.05916	1.00234	1.28121	1.07036	1.21132	0.235788	0.244963	0.149355	0.503303	0.140089	0.499355	0.656504	0.157164	0.263964	0.773966	0.631826	0.145027	0.424602	0.389849	0.575631	0.51135	0.75668	0.155644	0.804056	0.726849	0.263964	0.225116	0.263964	0.133399	0.664063	0.141638	0.476377	0.858603	0.369788	1.17268	1.04144	0	0	1.16362	0.15259	0.145027	0.309526	0.254471	0.157164	0	0.366943	0	0.28486	0.151077	0.159291	0.464539	0.28107	0.145027	0.539364	0	0.03949	0.300244	0.283282	0.263964	0.219324	0	0.250426
ENSMUSG00000029911	0.130687	0.608849	0	0.567441	0	0.251938	0.249314	0.875795	0.503303	0.59636	0.886227	0.696125	0.330425	0.478708	0.263964	0.330425	0.467248	0.272585	0.474422	0.584339	0.244963	0.300244	0.395892	0.130687	0.776297	0.72745	0.635498	0	0	0.585938	0.493296	0.244963	0.252949	0.263964	0	0.373109	0.248212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268096	0.0915355	0	0.0497111	0	0	0.347459	0.168809	0	0.157164	0.0101046	0.03949	0	0.130687
ENSMUSG00000083569	0.263964	0.130687	0.130687	0.0101046	0.635498	0.747801	0.223244	0.862108	0.263964	0.130687	0.602012	0.502296	0	0.478708	0	0	0	0	0.130687	0.130687	0	0.116369	0	0.378593	0.00532749	0	0.312906	0	0.345965	0.0462914	0.0861885	0.36461	0.0814958	0.0981885	0.384623	0.415825	0.369788	0.610841	1.0747	0.877359	0.589775	1.21652	0.909772	3.24891	3.24891	0.667042	0.132211	0.585938	0.786435	0.478708	0.15259	0.286856	0.283282	0.116369	0.427033	0.312906	0.424602	1.25319	0.944994	0.960632	0.918975	0.478708	0.496466	1.01647	1.02542	0.584339	0.897597	0.769624	0.783457
ENSMUSG00000053198	0.835698	0.623873	0.575631	0.656504	0.875795	1.23485	0.944994	0.807553	0.345965	0.800404	0.993246	0.524848	0.573109	0.303018	0.61978	0.568526	0.506762	0.157164	0.325535	0.564078	0.171855	0.830916	1.01303	0.915475	0.18131	0.618052	0.799482	0.679143	0.834236	0.574911	0.447905	0.475221	0.877359	0.78709	0.944994	0.32244	0.65201	1.09161	0.462134	0.508142	0.358735	0.363723	0.363723	0	0	0.387147	0.371857	0.477541	0.228653	0.263964	0.157164	0.290847	0.0814958	0.154111	0.219324	0.121282	0.242604	0.469695	0.155644	0.273484	0.0479817	0.149355	0.248212	0	0.310932	0.205206	0.569606	0.384623	0
ENSMUSG00000006678	0.217667	0.5187	0.236747	0.793333	0.736375	0.194524	0.574911	0.141638	0.707771	0.78527	0.713051	0.544853	0	0	0.24601	0	0.406227	0.450217	0.130687	0	0.684071	0.580551	0.263964	0.257544	0.464539	0.443948	0.24601	0.464539	0.248212	0.197307	0.506013	0.28486	0	0.219324	0.309526	0.436482	0.143326	0.212969	0.418012	0	0	0	0	0	0	0	0	0	0.130687	0	0	0	0	0.232429	0.244963	0.28107	0	0	0	0	0.0861885	0	0.03949	0	0	0	0.130687	0.157164	0.132211
ENSMUSG00000021567	0	0.129401	0.414518	0.141638	0.471802	0.102612	0.235788	0.586634	0.223244	0	0	0	0	0	0	0	0.141638	0	0	0.141638	0.804056	0.132211	0.216006	0.130687	0.133399	0.529722	0.248212	0.130687	0.27162	0.304409	0.157164	0.588778	0.294851	0.159291	0	0.157164	1.03334	1.29093	0.882227	1.06074	0.870666	1.17823	0.69764	0	0	0.737058	0.664063	0.717874	1.12345	0.684071	0.51135	0.834236	0.66012	0.724835	0.676805	0.757554	0.912845	0.157164	0.42946	0.337637	0.579896	0.589775	0.24601	0.69764	0.719264	0.707771	0.404412	0.37496	0.459345
ENSMUSG00000047501	0.569606	1.25879	0.972615	1.51064	1.43059	1.36659	1.39636	0.952392	1.19309	1.18054	1.22317	1.45145	0.305795	0.92074	0.418012	0.263964	0.387147	0.232429	0.130687	0.263964	0.865216	0.463635	0.664063	0.469695	0.460157	0	0.248212	0.687197	0.395892	0.628341	0.57096	0.72745	0.406227	0.783457	0.348907	0.82585	0.980695	1.08199	1.07761	0.638752	1.14879	0.379543	1.13708	0	0	0.444833	0.449061	0.39765	0	0.348907	0.443948	0.32244	0.141638	0.141638	0.03949	0.145027	0	0.171855	0.157164	0	0.558677	0.577641	0.57096	0.261841	0.395892	0.365768	0.470495	0.141638	0.365768
ENSMUSG00000062785	0	0.872648	0.918975	0.171855	0.762572	0.398608	1.16237	0.934148	0.840969	0.592421	0.784446	0.330425	0.269354	0.250426	0	0.251938	0.141638	0.379543	0	0.143326	0.130687	0.348907	0.506013	0.165128	0.279191	0.842791	0.40276	0.443948	0.450217	0.404412	0.673182	0.263964	0.407087	0.584339	0.141638	0.365768	0.155644	0	0.535346	0	0.358735	0.263964	0	0	0	0	0	0	0	0.447905	0.16145	0	0.234841	0.03949	0.223244	0.168809	0.201935	0.192928	0	0.263964	0.162476	0.460157	0.0462914	0.0157533	0.141638	0.0213364	0.0157533	0.151077	0
ENSMUSG00000046733	0.621658	0.664063	0.611834	0.793888	0.966763	0.37096	0.840188	0.494135	0.212969	0.683388	1.21867	1.26568	0.616112	0.822658	0.891334	0.418012	0.233807	0.244963	0.157164	0.374008	0.577641	0.379543	0.250426	0	0	0	0	0.37496	0.0915355	0.15259	0.470495	0.141638	0.135787	0	0.194524	0	0.28107	0	0.379543	0.315294	0.504474	0.14764	0.477541	0	0	0	0.141638	0	0	0.141638	0	0	0	0.141638	0	0	0	0.263964	0	0.251938	0.157164	0	0.14764	0	0.0462914	0.154111	0.263964	0	0.263964
ENSMUSG00000030780	0.130687	0.440508	0.956914	0.577641	0.0861885	0.371857	0.443948	0.592421	0.283282	0.0915355	0.667042	0.705766	0.389849	0.474422	0	0	0	0.406227	0.757554	0.25601	0.368618	0	0.600743	0.280166	0.527624	0.740066	0.406227	0.418012	0.99987	0.610841	1.21278	0.579097	0.358735	0.616798	0.733007	0.358735	0.171855	0.120108	0	0.18131	0	0.371857	0.295876	0	0	0	0.019634	0.283282	0.18131	0	0	0	0.0462914	0	0	0.162476	0.116369	0	0.0462914	0	0.03949	0	0.310932	0	0	0	0	0.0915355	0.335299
ENSMUSG00000085234	0	0.155644	0	0	0.130687	0.261841	0.00532749	0.293476	0	0	0	0	0	0.24601	0	0.15259	0	0	0	0	0	0	0.130687	0	0.157164	0	0.0143351	0.244963	0.263964	0.157164	0.283282	0.420907	0.351305	0.450217	0.121282	0.14764	0.55975	0.600743	0.643758	0.508142	0.790561	0.332695	0.707771	0.374008	0.374008	0.823495	0.799482	0.585938	0.457295	0.656504	0.628999	0.309526	0.450217	0.520942	0.230535	0.254471	0.263964	0.793888	0.628999	1.00986	1.46631	0.0915355	0.443948	0.242604	0.283282	0.355069	0.259732	0.0114996	0.520096
ENSMUSG00000028914	0.585938	0.132211	0.263964	0.776297	0.344478	0.268096	0	0.469695	0.0734032	0.460157	0	0.536584	0	0.261841	0.580551	0.125043	0.325535	0	0.390803	0	0.658587	0	0.566369	0.516109	0.799482	0.884797	0.567441	0.955464	0.59636	0.636736	0.610841	0.528348	0	0.471802	0.327265	0.57096	0	0	0	0.133399	0.141638	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102612	0	0	0	0.239106	0	0	0.0247993	0.03949	0	0.132211	0	0.0646089	0.03949	0.309526
ENSMUSG00000025403	0.972165	0.707771	0.908085	1.33642	0.69764	0.664063	0.577641	0.65919	0.602012	0.656504	0.244963	0.141638	0.132211	0	0.514509	0	0	0.132211	0	0.130687	0.122578	0	0	0.130687	0.726849	0.777127	0.733007	1.07389	0.949946	0.528348	0.606241	0.72153	0.822658	0.415825	0.970523	0.879595	0.223244	0.266709	0.441403	0.250426	0.24601	0.244963	0	0	0	0	0.143326	0.03949	0.0183307	0.273484	0	0.423756	0.1734	0.228653	0.0462914	0.0938088	0.145027	0.556667	0.157164	0.27162	0.162476	0.145027	0.228653	0	0.440508	0.0101046	0.283282	0.248212	0
ENSMUSG00000097310	0.862973	0.746928	0.592421	0.579896	0.330425	0.232429	0.807553	0.310932	0.908085	0.502296	1.12476	0.506013	0.740649	0.232429	0.422452	0.362058	0.853187	0.616798	0.424602	0.400687	0	0.24601	0.130687	0.122578	0.10045	0.664063	0.205206	0.347459	0.657159	0.300244	0.27162	0.602012	0.717874	0.0462914	0.0462914	0.585938	0.130687	0.504474	0	0.174923	0.460157	0.130687	0.525699	0	0	0.194524	0.03949	0.141638	0.411735	0.18131	0.358735	0.374008	0.0247993	0.0915355	0.130687	0.263964	0.143326	0	0	0	0.130687	0.248212	0.145027	0	0.0183307	0.24601	0.0143351	0.0213364	0
ENSMUSG00000033498	0.680077	0.503303	0.373109	0.230535	0.440508	0.520096	0.5479	0.157164	0.14764	0.26294	0.18131	0.244963	0	0.232429	0.157164	0	0.263964	0.310932	0.506013	0.186185	0.460157	0.387147	0.283282	0.162476	0.567441	0.389849	0.664063	0.387147	0.389849	0.0375354	0.219324	0.141638	0.251938	0.476377	0.15259	0.477541	0.15259	0	0	0	0.143326	0.230535	0	0	0	0	0.157164	0.263964	0.019634	0.186185	0	0.0355888	0.130687	0.0230654	0.019634	0	0.0114996	0	0	0.141638	0	0.019634	0	0.0213364	0	0.0355888	0.0183307	0.0114996	0.0355888
ENSMUSG00000044447	0.462134	0	0	0.141638	0	0	0	0	0	0	0	0.374008	0	0	0	0	0.0861885	0	0.0897422	0	0	0	0.130687	0	0	0	0.250426	0	0.32244	0	0.10045	0	0	0.0981885	0.122578	0	0.443948	0.389849	0.656504	0.793333	0.856131	0.141638	0.664063	0	0	0.581897	0.310932	0.365768	0.625199	0.5187	0.415825	0.312906	0.249314	0.201935	0.362058	0.506013	0.18131	0.406227	0.51135	0.773966	0.03949	0.4092	0.696125	0.501287	0.406227	0.450217	0.464539	0.72745	0.348907
