ID	ER-NOD-ERR1084805	ER-NOD-ERR1084806	ER-ATH-ERR1084764	ER-ATH-ERR1084765	TN-NOD-ERR1084798	TN-NOD-ERR1084799	TN-ATH-ERR1084768	TN-ATH-ERR1084766	A1-A2_1_Tt	B1-B2_1_Tt	i_B1-B2_1_A1-A2_1_Tt	FTEST_A1-A2_1	FTEST_B1-B2_1	FTEST_B1-B2_1+A1-A2_1
ENSG00000014138	0.282556	0.764915	1.89665	2.10015	0.393254	0.721823	0.140864	0.513984	-4.32226	3.28571	-4.50074	1.5444e-05	0.00101727	6.77161e-06
ENSG00000015479	0.795984	0.773936	0.73764	0.447116	0.284622	0.709106	0.727158	0.830729	-0.268048	0.23628	1.25314	0.788663	0.813216	0.210154
ENSG00000016082	0.428374	0.840438	0.302213	1.02091	0.784757	0.75313	3.36018	5.07114	3.88024	3.65432	3.59719	0.000104353	0.00025786	0.000321675
ENSG00000018610	0.357265	0.632441	0.187644	0.360497	0.977384	0.786125	0.19374	0.211276	0.832518	-2.37614	-1.21038	0.405117	0.0174946	0.226134
ENSG00000019144	0.461601	0.676691	0.693211	0.766557	0.388778	0.875767	1.32602	0.388379	0.352434	0.713715	0.118788	0.724513	0.475404	0.905443
ENSG00000021355	0.429642	0.289751	1.08436	0.103579	0.927391	0.431479	0.718234	0.288201	0.385358	0.0977033	-0.690814	0.699972	0.922168	0.489682
ENSG00000022267	0.536497	1.05864	1.01893	0.864871	3.59991	3.90779	0.799075	6.12354	2.04276	-0.0552906	-0.162981	0.0410762	0.955907	0.870533
ENSG00000022840	0.221143	2.03532	0.785786	0.483832	0.874273	1.04305	1.01627	0.961917	0.199947	-0.501163	0.567047	0.841522	0.616256	0.570682
ENSG00000022976	0.303548	1.07674	0.893657	0.648042	0.397288	1.00493	1.00964	0.973979	0.457345	0.732388	0.414101	0.647423	0.463932	0.6788
ENSG00000026751	0.598144	0.6762	0.262757	0.373911	0.964579	0.592399	0.563662	0.811732	1.34823	-1.08145	0.602058	0.177583	0.279496	0.547135
ENSG00000028203	0.942667	0.948942	0.595977	0.391053	0.280421	0.784178	0.82755	0.239058	-0.932741	-1.12634	1.13136	0.350954	0.260021	0.257906
ENSG00000033170	0.703109	0.592422	0.938134	3.64011	0.824252	0.278208	0.321966	0.598525	-1.38886	1.11833	-1.24959	0.164875	0.263425	0.211448
ENSG00000035664	0.221259	2.53654	0.238238	0.460443	0.424807	1.0319	1.00848	0.722095	-0.1112	-0.737446	0.963712	0.911458	0.460851	0.33519
ENSG00000037757	7.27262	6.98995	8.15623	8.02904	7.84535	7.48582	8.10937	6.7516	-0.177772	1.00983	-1.66363	0.858902	0.312577	0.0961863
ENSG00000038210	2.76748	0.936828	0.918128	0.596074	1.15765	0.434972	1.0153	0.506484	-1.02231	-1.09851	1.02967	0.306635	0.271982	0.303164
ENSG00000039068	0.494327	0.758831	0.708883	0.358906	0.25123	0.172545	0.207848	0.747207	-1.24363	0.456616	0.946005	0.213636	0.647947	0.344146
ENSG00000039319	0.463598	0.38827	0.431386	0.191149	0.287515	0.872884	0.453889	0.527328	0.880747	-0.539256	0.0662014	0.378455	0.58971	0.947218
ENSG00000044115	1.03449	0.68357	2.96286	0.365461	0.758747	0.861778	0.587427	0.257272	-0.976338	0.315628	-0.902548	0.328897	0.752285	0.366766
ENSG00000047410	0.983037	0.725665	0.617715	0.307844	0.657561	0.526199	0.768889	0.929939	0.327802	-0.35387	1.71369	0.743061	0.723437	0.0865861
ENSG00000047621	0.494388	0.344327	0.426013	0.82936	0.738654	1.08484	0.438243	0.99756	1.48235	0.0368453	-1.02327	0.138248	0.970608	0.306179
ENSG00000047648	3.91995	0.236075	0.510788	1.63259	0.78707	3.33099	0.631265	4.12205	0.444459	-0.238025	0.45758	0.656711	0.811862	0.647254
ENSG00000048544	0.105409	1.23824	0.883282	0.874386	0.393678	0.214668	0.965535	0.821006	-0.611103	1.37736	0.661055	0.541132	0.168402	0.508577
ENSG00000049239	0.149162	0.549105	1.08647	0.807909	0.558843	0.310883	0.573894	0.965181	-0.242679	2.46247	-0.695342	0.808254	0.0137982	0.486841
ENSG00000049541	0.19392	0.199559	0.482896	0.401763	0.75712	0.909095	0.231702	1.82462	1.52564	0.550042	-0.0630834	0.127101	0.58229	0.9497
ENSG00000050130	3.79668	0.151508	4.38801	4.47162	1.98244	0.153422	3.03959	0.557716	-1.48165	1.33468	-0.722534	0.138434	0.181983	0.469966
ENSG00000052802	0.880868	0.792076	0.54256	2.17763	0.219111	0.862319	0.689637	0.678635	-1.10466	0.758301	-0.432217	0.269309	0.448271	0.665584
ENSG00000053372	1.95809	0.629899	2.1959	2.46074	0.695045	0.717084	0.461917	0.404285	-3.66316	1.12317	-1.92852	0.000249126	0.261367	0.0537904
ENSG00000053501	0.988723	0.576585	0.26982	0.709729	0.625747	0.718925	0.696196	0.974422	0.62099	-0.342963	1.20348	0.534606	0.731627	0.228789
ENSG00000053524	0.333656	0.929808	1.70238	0.17009	0.198837	0.30598	1.02373	0.26965	-0.738258	0.771274	0.0990905	0.460358	0.440544	0.921066
ENSG00000054267	0.581733	0.325491	0.926769	0.390829	0.457193	0.978278	0.444251	0.914909	0.619525	0.36321	-0.529149	0.535571	0.716448	0.596702
ENSG00000054654	0.894013	4.2423	3.87194	3.19783	2.82721	2.97043	2.96286	0.759146	-0.660509	-0.0349567	-0.985707	0.508927	0.972114	0.324277
ENSG00000054690	0.136327	0.357469	0.878257	0.725964	0.458993	0.936104	0.408157	1.03676	0.890121	1.39186	-1.27233	0.373401	0.163964	0.203257
ENSG00000055332	0.321009	0.298021	0.712442	0.209733	0.774605	0.882262	0.819462	0.300352	1.63088	-0.308768	-1.10909	0.102917	0.757498	0.26739
ENSG00000057019	0.501188	2.73474	0.415658	0.534009	0.330996	0.485748	0.632846	0.254724	-1.0913	-0.974377	1.03668	0.275141	0.329869	0.299886
ENSG00000058668	0.655398	0.114579	1.72211	0.480215	0.482167	0.405408	0.837408	0.360445	-0.616692	1.21174	-0.780237	0.537438	0.225611	0.435251
ENSG00000058866	0.847005	0.749659	0.652316	1.01959	1.47782	4.03031	2.63898	5.2497	2.75907	0.668991	0.627997	0.00579663	0.503501	0.530006
ENSG00000059145	0.785986	0.909785	0.797848	0.41195	0.745889	0.106005	0.63296	0.94391	-0.582345	0.291904	1.47898	0.560334	0.77036	0.139144
ENSG00000059588	0.718447	0.742693	0.618515	0.500709	0.462154	0.818867	0.901897	0.777812	0.502099	0.0749413	0.977623	0.615598	0.940261	0.328261
ENSG00000059691	0.252876	0.132893	0.163561	0.785722	0.287616	0.718958	0.41852	0.800301	1.03973	0.905918	-0.410203	0.298467	0.364979	0.681657
ENSG00000060138	0.667831	0.101125	0.105709	0.405239	0.36157	0.755368	0.957555	0.281161	1.06335	-0.13466	0.375409	0.287623	0.89288	0.707356
ENSG00000060339	0.441354	1.18414	0.767341	0.979009	0.753305	0.41323	0.985014	0.286265	-0.852495	0.205906	-0.0147046	0.39394	0.836864	0.988268
ENSG00000063322	0.257139	0.603461	0.928957	0.775654	1.00417	0.291112	0.494521	0.806067	0.0354257	0.981392	-0.969129	0.97174	0.326399	0.332481
ENSG00000064012	0.968924	0.647397	0.838959	1.03248	0.333119	1.02658	0.651443	1.03342	-0.505864	0.662327	0.0799477	0.612952	0.507761	0.936279
ENSG00000064607	0.76228	0.594407	0.652568	1.03913	0.899646	0.914139	0.694497	0.757201	0.286578	-0.0357407	-0.920194	0.774436	0.971489	0.357471
ENSG00000064692	5.8386	4.14129	3.48177	3.83003	1.30507	2.48931	1.0953	5.78048	-1.2898	0.0805082	1.11994	0.19712	0.935833	0.26274
ENSG00000065154	2.48608	1.03585	2.76748	2.1545	2.63898	3.25022	2.56468	3.52	1.8192	0.822267	-0.620783	0.0688817	0.410925	0.534742
ENSG00000065413	0.424541	0.974309	0.689157	0.737771	0.859324	0.453889	0.875421	0.89491	0.34026	0.640477	0.566352	0.73366	0.521863	0.571155
ENSG00000065621	0.362785	0.618727	2.0983	0.704379	0.570564	0.266955	0.89549	0.965086	-0.74849	1.96012	-0.550023	0.454165	0.0499823	0.582304
ENSG00000066044	2.0983	1.95809	0.973021	0.764414	0.512483	1.60129	0.711981	1.88209	-0.6712	-1.1364	1.7301	0.502093	0.255791	0.0836125
ENSG00000066056	0.696899	0.859054	0.745601	0.638557	0.248342	0.679022	0.132963	0.664307	-1.60448	-0.398503	0.0550481	0.108609	0.690259	0.9561
ENSG00000066427	0.80091	0.618151	0.932609	0.615049	0.212648	0.58981	0.610349	0.1485	-1.8552	0.112187	-0.227319	0.0635681	0.910675	0.820176
ENSG00000066468	0.914351	0.484658	0.737656	0.552122	0.243982	0.513078	0.347033	0.506767	-1.42291	-0.0164896	0.271889	0.154763	0.986844	0.785708
ENSG00000067334	0.117457	1.03382	0.817597	1.54822	0.673721	0.315796	0.912947	0.682682	-0.747433	1.46019	-0.48797	0.454802	0.144238	0.625571
ENSG00000067798	0.546743	2.48931	0.577361	1.09516	0.158723	0.17426	0.740766	0.69728	-1.46079	-0.12853	1.22759	0.144072	0.89773	0.219602
ENSG00000067842	0.749551	0.616555	0.322602	1.27112	2.76748	3.16509	2.13052	4.2143	4.00312	0.274907	0.0793245	6.25127e-05	0.783388	0.936775
ENSG00000068400	0.319788	0.730243	1.02351	0.837939	0.562852	0.538562	0.950586	1.05266	0.255006	2.26156	0.11935	0.798719	0.0237246	0.904998
ENSG00000068489	1.30507	1.04891	0.999086	0.867014	0.433569	0.636742	0.319136	0.577551	-2.97415	-0.873212	0.41483	0.002938	0.382548	0.678266
ENSG00000069431	0.927444	2.11748	2.48931	2.19908	1.67943	0.955816	0.8275	0.766922	-2.46047	0.423211	-1.88507	0.0138756	0.672141	0.0594207
ENSG00000069812	1.04982	0.566169	0.984318	1.06728	0.283765	0.558039	0.880224	0.866448	-1.42446	1.76947	0.619443	0.154313	0.0768147	0.535625
ENSG00000069869	5.67474	6.35851	6.26291	6.15105	6.32448	5.31249	6.47589	4.74505	-0.749204	-0.01665	-0.375587	0.453734	0.986716	0.707224
ENSG00000069974	1.00478	0.357585	0.861612	1.0635	0.431846	0.424	1.00763	0.502379	-1.08997	1.43919	0.108107	0.275725	0.150097	0.91391
ENSG00000070010	0.660785	0.654448	0.722167	0.291028	0.577961	0.455928	0.460105	0.75388	-0.106333	-0.160968	0.636436	0.915318	0.872118	0.524493
ENSG00000070182	1.01652	0.310692	0.706542	0.965434	0.209778	0.473556	0.299003	0.74652	-1.39013	0.773619	0.0190715	0.164489	0.439156	0.984784
ENSG00000070190	0.692692	0.776554	0.696341	0.15886	0.660872	0.663617	0.342626	0.648606	-0.0115184	-1.25047	0.37065	0.99081	0.211126	0.710898
ENSG00000070601	0.118911	0.443841	0.109073	1.02369	0.701427	0.870686	0.987197	1.03327	1.92332	1.03247	-0.123341	0.0544393	0.301853	0.901837
ENSG00000070669	4.13307	1.49264	4.04349	2.79435	1.72211	0.273065	3.93223	3.36018	-0.959371	1.9663	1.234	0.337372	0.0492642	0.217204
ENSG00000070729	2.34337	0.547982	0.587721	1.57294	0.35939	3.74419	5.36067	0.895231	0.889645	0.238296	0.483254	0.373656	0.811652	0.628915
ENSG00000070756	10.9978	11.836	11.4341	11.388	10.8005	10.771	11.8294	10.7516	-1.10021	0.730205	0.74733	0.27124	0.465265	0.454865
ENSG00000070770	6.0387	6.43172	6.40755	6.56646	6.98397	7.08511	6.82322	5.60509	0.813883	-0.87898	-1.65748	0.415712	0.379412	0.097423
ENSG00000071073	0.739009	1.06568	0.255336	0.392889	0.982204	0.466028	0.999431	0.847638	1.11198	-1.0001	2.05306	0.266147	0.317263	0.0400671
ENSG00000071991	0.575806	1.37478	0.372987	1.04664	0.207814	0.236515	6.00241	2.55995	1.56668	2.10886	2.40403	0.117189	0.0349566	0.0162156
ENSG00000072080	0.222326	0.965679	0.723194	0.818666	2.81203	1.02454	0.284066	0.382284	0.913599	-1.45118	-1.81584	0.360928	0.146729	0.0693942
ENSG00000072195	0.267165	0.302977	0.726125	0.276239	0.226669	0.327552	1.04692	0.875509	1.19351	2.37664	1.23554	0.23267	0.0174711	0.216628
ENSG00000073605	0.113866	0.260824	0.219989	0.561848	0.748545	1.01522	0.200857	0.714227	2.00952	-0.582843	-1.65774	0.0444819	0.559999	0.0973699
ENSG00000073756	6.4159	2.96286	0.170557	1.52357	3.5125	0.493746	4.9126	8.27869	1.04733	0.256574	2.88476	0.294947	0.797508	0.00391716
ENSG00000074219	0.596431	0.536585	0.393177	0.344069	1.01239	0.666164	0.290709	0.134716	0.308517	-2.17661	-1.13175	0.757689	0.0295098	0.257741
ENSG00000074416	0.531844	0.913904	0.853383	0.456383	1.09797	0.759047	0.931231	0.135666	0.164236	-0.903193	-0.637957	0.869545	0.366424	0.523502
ENSG00000074660	0.623548	0.300947	0.761792	0.799787	0.427616	0.989343	0.746712	0.441482	0.15719	0.538995	-1.14295	0.875095	0.58989	0.253058
ENSG00000074755	0.747552	0.150168	0.866701	1.23824	0.90333	0.429873	0.624157	0.798713	-0.284822	1.49798	-1.29084	0.77578	0.134139	0.19676
ENSG00000074800	1.83624	0.781922	1.00419	0.41294	0.812685	1.90765	1.04615	4.8729	1.1068	0.480231	1.05768	0.268381	0.631063	0.290203
ENSG00000075131	0.852479	0.397933	2.37056	0.909371	0.289064	0.691111	0.153439	0.201454	-2.0186	0.887119	-1.67715	0.0435292	0.375015	0.0935123
ENSG00000075539	0.257275	0.344149	0.236171	0.689119	0.158052	0.989553	1.0455	0.156022	0.631643	0.29015	-0.207328	0.52762	0.771701	0.835754
ENSG00000075624	7.63603	6.6046	6.12854	6.90189	6.37912	7.67452	5.5872	7.52196	-0.0406772	-0.809591	0.0998406	0.967553	0.418175	0.920471
ENSG00000075702	1.02522	0.56905	0.356969	0.687011	0.268837	0.684585	0.759047	2.08854	0.773899	0.894444	1.62696	0.438991	0.371084	0.103746
ENSG00000075884	0.576355	0.915549	1.02607	0.626523	0.68225	0.829398	0.325236	0.364172	-1.24537	-0.873276	-1.2975	0.212994	0.382513	0.194459
ENSG00000075886	0.733585	0.638175	0.116651	1.03152	0.447546	0.94896	0.305714	0.622629	-0.178236	-0.632026	-0.223455	0.858538	0.52737	0.823182
ENSG00000075914	0.500985	0.407168	0.779904	0.745134	0.543339	0.369022	0.803186	0.432892	-0.375883	1.24163	-0.386991	0.707004	0.214374	0.698763
ENSG00000076053	0.314524	1.00172	1.95152	0.859208	0.419156	0.358112	0.783574	0.116177	-1.68481	1.11197	-0.943511	0.0920251	0.26615	0.345419
ENSG00000076513	0.945123	0.952411	0.700763	0.421478	0.76796	0.62683	0.948	0.35021	-0.431353	-1.15091	0.895928	0.666212	0.249771	0.370291
ENSG00000076554	0.356228	0.173236	0.614382	0.989813	0.711411	0.631033	0.921331	1.05896	1.56962	2.26066	-0.576708	0.116503	0.0237801	0.564137
ENSG00000077254	0.836747	0.443959	0.459942	0.143915	0.123863	0.105076	0.777517	0.587254	-0.383937	0.605875	2.39281	0.701025	0.544598	0.0167201
ENSG00000077454	0.392886	0.808262	1.71201	0.920146	0.60741	0.567471	0.178258	0.290984	-2.42661	0.804038	-2.36837	0.0152407	0.421375	0.0178664
ENSG00000077809	0.583648	1.02338	0.143395	0.184411	0.344858	0.811355	0.711241	0.192858	0.152009	-1.85513	1.24429	0.879179	0.0635779	0.213394
ENSG00000078124	0.61104	1.06157	0.967469	0.266094	0.196171	0.575947	0.857282	0.877505	-0.435752	0.57148	1.52981	0.663017	0.567674	0.126063
ENSG00000078142	0.10698	0.678613	0.836462	0.843727	1.02257	0.196404	0.933476	0.887642	0.571047	1.48823	-0.290791	0.567968	0.136691	0.771211
ENSG00000078399	3.72221	1.04644	0.20148	0.374897	4.58513	1.01353	7.85232	6.92328	3.29465	1.09272	2.93074	0.000985456	0.274518	0.00338156
ENSG00000078699	0.339321	0.974422	0.909743	0.195043	0.84673	0.377214	0.64739	0.558843	0.0108983	-0.212068	0.178927	0.991305	0.832054	0.857995
ENSG00000078814	0.273301	1.03771	0.860862	0.196681	1.08111	0.945273	0.44154	0.792463	0.825531	-0.968104	-0.498847	0.40907	0.332992	0.617887
ENSG00000079385	1.05531	0.556514	0.534398	0.754029	0.423983	0.700492	0.229976	0.181265	-1.80124	-1.3684	-0.514597	0.0716652	0.171188	0.606835
ENSG00000079482	2.70919	3.74419	3.05168	3.65676	2.22209	2.1796	2.0983	1.20285	-3.64663	-0.564786	-0.90555	0.000265698	0.572219	0.365174
ENSG00000079974	0.477997	0.236956	0.759878	0.214459	0.980683	0.68245	0.310863	0.768326	1.30233	-0.401397	-1.04298	0.192805	0.688128	0.296959
ENSG00000080573	0.840832	0.628885	0.412343	1.04322	3.05168	2.03532	2.75914	7.18351	2.63819	1.05522	1.06139	0.00833499	0.291324	0.288512
ENSG00000080802	0.868206	0.222086	0.138265	0.614936	0.4993	0.311565	0.55265	0.260162	-0.251242	-0.383059	0.387508	0.801627	0.701676	0.69838
ENSG00000080947	0.408247	0.533758	0.105435	0.749787	0.226222	0.561949	0.184185	0.312361	-0.676533	-0.499514	-0.270398	0.498703	0.617417	0.786854
ENSG00000081059	0.880251	0.885932	0.784677	1.01023	0.967197	0.162674	0.147183	0.627075	-1.71961	-0.339254	-0.398867	0.0855035	0.734419	0.689992
ENSG00000081665	1.97094	0.277133	1.02787	0.209525	0.487996	0.696191	2.31369	0.738409	0.304913	0.348125	1.16901	0.760433	0.727747	0.2424
ENSG00000081760	0.80034	0.639413	0.506615	0.922426	0.677678	1.02155	0.321726	0.889244	0.0517916	-0.624144	-0.597345	0.958695	0.532533	0.550277
ENSG00000081870	1.96634	0.474201	0.481888	0.197491	0.907959	0.487323	0.847277	1.03418	0.0988031	-0.803289	1.41591	0.921295	0.421808	0.156803
ENSG00000082805	3.52	0.949272	0.931462	0.814432	0.735204	0.616139	0.724658	0.602401	-1.37135	-1.06538	1.04655	0.170267	0.286704	0.295308
ENSG00000082898	0.678813	0.771841	3.77658	0.129476	0.855945	0.699707	0.239001	0.243942	-0.908665	0.37865	-0.966173	0.363527	0.704948	0.333958
ENSG00000083123	0.295898	0.87741	0.944281	0.835311	0.284025	0.766707	0.65807	0.41299	-1.0364	0.781388	-0.730692	0.300017	0.434574	0.464967
ENSG00000083312	0.205576	0.988433	0.202233	0.579777	0.370321	0.299724	0.387736	2.41616	0.678432	0.779855	1.15306	0.497498	0.435476	0.248887
ENSG00000083444	0.757643	1.047	0.321918	0.606915	0.878463	1.03635	0.242119	0.394601	-0.240173	-2.84323	-0.531025	0.810196	0.00446584	0.595401
ENSG00000083807	0.661007	0.74452	0.973414	1.37478	0.332848	0.773996	0.729359	0.932555	-1.30019	1.97707	-0.511642	0.193537	0.0480339	0.608901
ENSG00000084072	0.912997	0.873301	2.99541	0.128453	0.690407	0.717582	0.863764	0.874432	-0.615187	0.581636	-0.351316	0.538431	0.560812	0.725351
ENSG00000084092	0.384289	0.176753	0.980009	0.272722	0.278987	0.459786	0.543043	0.47871	-0.0699087	1.27963	-0.536589	0.944266	0.200674	0.591552
ENSG00000084234	1.59531	2.55678	0.747522	3.35118	0.955816	0.200686	2.32984	0.425711	-1.25777	0.448077	0.47903	0.208475	0.654098	0.631917
ENSG00000084623	0.96944	0.7076	0.204174	0.905789	0.849719	0.498775	0.466796	2.22209	0.644401	0.39854	0.983043	0.519315	0.690232	0.325586
ENSG00000084754	0.494239	0.372189	0.699644	0.168235	1.00155	0.532199	0.981232	0.77485	2.05335	0.295404	0.291573	0.040039	0.767685	0.770613
ENSG00000084774	2.1715	0.560652	0.571639	0.392432	0.324415	0.346071	0.676721	0.401169	-1.18469	-0.82757	1.32314	0.236141	0.407914	0.185789
ENSG00000085662	2.28006	3.76911	0.22608	0.849443	0.580156	1.22985	0.585866	0.292486	-2.51399	-3.34642	2.29052	0.0119374	0.000818613	0.0219911
ENSG00000085998	0.958866	0.892319	0.233388	0.393171	0.284577	0.102828	1.00077	1.17905	0.11812	0.749505	3.98261	0.905972	0.453553	6.81631e-05
ENSG00000086015	0.388752	0.679029	0.908617	0.750491	0.787527	0.295797	0.275413	0.144729	-1.61496	-0.0948508	-1.656	0.106319	0.924433	0.0977223
